English Title;Synonims Titles;Type;PUBLISHED;FINISHED;Serialization;Score;Ranked;Popularity;Members;Favorites;Score Voted By;VOLUMENES;CHAPTERS;GENRE;AUTHOR;ADULT CONTENT,,,,,,,,
Konosuba: God's Blessing on This Wonderful World!;Unknown;Novel;4/13/1981;false;None;8.67;51;330;27918;1560;7609;30;135;Drama;Margette Fayers;true,,,,,,,,
Bloom Into You;YagaKimi, Eventually, I Will Become You;Manga;5/24/1984;false;Dengeki Daioh;8.67;52;216;38437;3924;15402;9;126;Adventure|Children|Drama|Western;Urson Taggerty;false,,,,,,
Unknown;Eoneu Nal Gongjuga Doeeo Beoryeotda, Suddenly Became A Princess One Day;Manhwa;4/22/1988;false;None;8.67;53;1355;8288;775;3370;8;106;Horror;Violetta Ortas;true,,,,,,,
Spy x Family;Unknown;Manga;09/04/1983;false;Shounen Jump+;8.66;54;152;51539;3130;18545;16;74;Comedy|Romance;Jon Blaisdale;false,,,,,,,,
Toilet-Bound Hanako-kun;Unknown;Manga;1/20/1978;false;GFantasy;8.66;55;348;26894;3320;9074;26;511;Crime|Musical;Imogen Malloch;false,,,,,,,,
Your Lie in April;Unknown;Manga;12/23/1996;false;Shounen Magazine (Monthly);8.66;56;143;52666;2337;22804;21;553;Drama;Alwin Wyon;false,,,,,,,,
Umineko When They Cry Episode 8: Twilight of the Golden Witch;When Seagulls Cry Episode 8: Twilight of the Golden Witch;Manga;4/13/1980;false;Gangan Joker;8.65;57;1643;6895;387;2285;4;195;Drama|Film-Noir|Mystery;Tana Gaspero;false,,,,,,,,
Unknown;Hyouka;Novel;5/31/1990;true;None;8.65;58;1153;9611;359;1627;28;254;Drama|Thriller;Rickie Oyley;true,,,,,,,,
Unknown;Hulejasig;Manhwa;05/05/1967;true;Naver Webtoon;8.65;59;169;45192;3002;23128;28;396;Drama;Selle Hebborne;true,,,,,,,,
WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?;SukaSuka, What are you doing at the end? Are you busy? Can you save me?, Do you have what THE END? Are you busy? Shall you save xxx?;Novel;9/27/1962;false;None;8.65;60;657;15535;625;3139;11;481;Drama;Enrique Cordero;true,,,,,,
Unknown;Unknown;Manga;01/12/1990;true;Shounen Champion;8.65;61;178;43936;4035;16838;12;768;Comedy|Crime|Drama|Thriller;Ilysa Tether;true,,,,,,,,
Aria;Aria The Masterpiece;Manga;06/08/1998;false;Comic Blade;8.64;62;402;23006;2180;7179;3;116;Action|Comedy|Crime|Thriller;Dominique Stollsteimer;true,,,,,,,,
